name;			Number;	Photo.link;		Type 1;	Type 2;	Ability 1;	Ability 2;	Hidden Ability;	Catch Rate;	Egg Group1;	Egg Group2;	Hp;	Atk;	Def;	Spatk;	Spdef;	Speed
Bulbasaur;		1; 		;				Grass;	Poison;	Overgrow;	;			Chlorophyll;	45;			Monster;	Grass;		45;49;49;65;65;45
Ivysaur;		2;		;				Grass;	Poison;	Overgrow;	;			Chlorophyll;	45;			Monster;	Grass;		60;62;63;80;80;60
Venusaur;		3;		;				Grass;	Poison;	Overgrow;	;			Chlorophyll;	45;			Monster;	Grass;		80;82;83;100;100;80
Charmander;		4;		;				Fire;	;		Blaze;		;			Solar Power;	45;			Monster;	Dragon;		39;52;43;60;50;65
Charmeleon;		5;		;				Fire;	;		Blaze;		;			Solar Power;	45;			Monster;	Dragon;		58;64;58;80;65;80
Charizard;		6;		;				Fire;	Flying;	Blaze;		;			Solar Power;	45;			Monster;	Dragon;		78;84;78;109;85;100
Squirtle;		7;		;				Water;	;		Torrent;	;			Rain Dish;		45;			Monster;	Water 1;	44;48;65;50;64;43
Wartortle;		8;		;				Water;	;		Torrent;	;			Rain Dish;		45;			Monster;	Water 1;	59;63;80;65;80;58
Blastoise;		9;		;				Water;	;		Torrent;	;			Rain Dish;		45;			Monster;	Water 1;	79;83;100;85;105;78
Caterpie;		10;		;				Bug;	;		Shield Dust;;			Run	Away;		255;		Bug;		;			45;30;35;20;20;45
Metapod;		11;		;				Bug;	;		Shed Skin;	;			;				120;		Bug;		;			50;20;55;25;25;30
Butterfree;		12;		;				Bug;	Flying;	Compound Eyes;;			Tinted Lens;	45;			Bug;		;			60;45;50;90;80;70
Weedle;			13;		;				Bug;	Poison;	Shield Dust;;			Run	Away;		255;		Bug;		;			40;35;30;20;20;50
Kakuna;			14;		;				Bug;	Poison;	Shed Skin;	;			;				120;		Bug;		;			45;25;50;25;25;35
Beedrill;		15;		;				Bug; 	Poison;	Swarm;		;			Sniper;			45;			Bug;		;			65;90;40;45;80;75
Pidgey;			16;		;				Normal;	Flying;	Keen Eye;	Tangled Feet;Big Pecks;		255;		Flying;		;			40;45;40;35;35;56
Pidgeotto;		17;		;				Normal;	Flying;	Keen Eye;	Tangled Feet;Big Pecks;		120;		Flying;		;			63;60;55;50;50;71
Pidgeot;		18;		;				Normal;	Flying;	Keen Eye;	Tangled Feet;Big Pecks;		45;			Flying;		;			83;80;75;70;70;101
Rattata;		19;		;				Normal;	;		Run Away;	Guts;		Hustle;			255;		Field;		;			30;56;35;25;35;72
Raticate;		20;		;				Normal;	;		Run Away;	Guts;		Hustle;			127;		Field;		;			55;81;60;50;70;97
Spearow;		21;		;				Normal;	Flying;	Keen Eye;	;			Sniper;			255;		Flying;		;			40;60;30;31;31;70
Fearow;			22;		;				Normal;	Flying;	Keen Eye;	;			Sniper;			90;			Flying;		;			65;90;65;61;61;100
Ekans;			23;		;				Poison;	;		Intimidate;	Shed Skin;	Unnerve;		255;		Field;		Dragon;		35;60;44;40;54;55
Arbok;			24;		;				Poison;	;		Intimidate;	Shed Skin;	Unnerve;		90;			Field;		Dragon;		60;95;69;65;79;80
Pikachu;		25;		;				Electric;;		Static;		;			Lightning Rod;	190;		Field;		Fairy;		35;55;40;50;50;90
Raichu;			26;		;				Electric;;		Static;		;			Lightning Rod;	75;			Field;		Fairy;		60;90;55;90;80;110
Sandshrew;		27;		;				Ground;	;		Sand Veil;	;			Sand Rush;		255;		Field;		;			50;75;85;20;30;40
Sandslash;		28;		;				Ground;	;		Sand Veil;	;			Sand Rush;		90;			Field;		;			75;100;110;45;55;65
Nidoran♀;		29;		;				Poison;	;		Poison Point;Rivalry;	Hustle;			235;		Monster;	Field;		55;47;52;40;40;41
Nidorina;		30;		;				Poison;	;		Poison Point;Rivalry;	Hustle;			120;		Undiscovered;;			70;62;67;55;55;56
Nidoqueen;		31;		;				Poison;	Ground;	Poison Point;Rivalry;	Sheer Force;	45;			Undiscovered;;			90;92;87;75;85;76
Nidoran♂;		32;		;				Poison;	;		Poison Point;Rivalry;	Hustle;			235;		Monster;	Field;		46;57;40;40;40;50
Nidorino;		33;		;				Poison;	;		Poison Point;Rivalry;	Hustle;			120;		Monster;	Field;		61;72;57;55;55;65
Nidoking;		34;		;				Poison;	Ground;	Poison Point;Rivalry;	Sheer Force;	45;			Monster;	Field;		81;102;77;85;75;85
Clefairy;		35;		;				Fairy;	;		Cute Charm;	Magic Guard;Friend Guard;	150;		Fairy;		;			70;45;48;60;65;35
Clefable;		36;		;				Fairy;	;		Cute Charm;	Magic Guard;Unaware;		25;			Fairy;		;			95;70;73;95;90;60
Vulpix;			37;		;				Fire;	;		Flash Fire;	;			Drought;		190;		Field;		;			38;41;40;50;65;65
Ninetales;		38;		;				Fire;	;		Flash Fire;	;			Drought;		75;			Field;		;			73;76;75;81;100;100
Jigglypuff;		39;		;				Normal;	Fairy;	Cute Charm;	Competitive;Friend Guard;	170;		Fairy;		;			115;45;20;45;25;20
Wigglytuff;		40;		;				Normal;	Fairy;	Cute Charm;	Competitive;Frisk;			50;			Fairy;		;			140;70;45;85;50;45
Zubat;			41;		;				Poison;	Flying;	Inner Focus;;			Infiltrator;	255;		Flying;		;			40;45;35;30;40;55
Golbat;			42;		;				Poison;	Flying;	Inner Focus;;			Infiltrator;	90;			Flying;		;			75;80;70;65;75;90
Oddish;			43;		;				Grass;	Poison;	Chlorophyll;;			Run Away;		255;		Grass;		;			45;50;55;75;65;30
Gloom;			44;		;				Grass;	Poison;	Chlorophyll;;			Stench;			120;		Grass;		;			60;65;70;85;75;40
Vileplume;		45;		;				Grass;	Poison;	Chlorophyll;;			Effect Spore;	45;			Grass;		;			75;80;85;110;90;50
Paras;			46;		;				Bug;	Grass;	Effect Spore;Dry Skin;	Damp;			190;		Bug;		Grass;		35;70;55;45;55;25
Parasect;		47;		;				Bug;	Grass;	Effect Spore;Dry Skin;	Damp;			75;			Bug;		Grass;		60;95;80;60;80;30
Venonat;		48;		;				Bug;	Poison;	Compound Eyes;Tinted Lens;Run Away;		190;		Bug;		;			60;55;50;40;55;45
Venomoth;		49;		;				Bug;	Poison;	Shield Dust;Tinted Lens;Wonder Skin;	75;			Bug;		;			70;65;60;90;75;90
Diglett;		50;		;				Ground;	;		Sand Veil;	Arena Trap;	Sand Force;		255;		Field;		;			10;55;25;35;45;95
Dugtrio;		51;		;				Ground;	;		Sand Veil;	Arena Trap;	Sand Force;		50;			Field;		;			35;100;50;50;70;120
Meowth;			52;		;				Normal;	;		Pickup;		Technician;	Unnerve;		255;		Field;		;			40;45;35;40;40;90
Persian;		53;		;				Normal;	;		Limber;		Technician;	Unnerve;		90;			Field;		;			65;70;60;65;65;115
Psyduck;		54;		;				Water;	;		Damp;		Cloud Nine;	Swift Swim;		190;		Water 1;	Field;		50;52;48;65;50;55
Golduck;		55;		;				Water;	;		Damp;		Cloud Nine;	Swift Swim;		75;			Water 1;	Field;		80;82;78;95;80;85
Mankey;			56;		;				Fighting;;		Vital Spirit;Anger Point;Defiant;		190;		Field;		;			40;80;35;35;45;70
Primeape;		57;		;				Fighting;;		Vital Spirit;Anger Point;Defiant;		75;			Field;		;			65;105;60;60;70;95
Growlithe;		58;		;				Fire;	;		Intimidate;	Flash Fire;	Justified;		190;		Field;		;			55;70;45;70;50;60
